,Island Name
M,Maalhaveli
M,Maduvvari
M,Raaban'dhihuraa
M,Raiymandhoo
M,Seedheehuraa
M,Seedheehuraa veligan'du
M,Thuvaru
M,Uthuruboduveli
M,Uthurugaseveli
N,Foddhoo
N,Henbandhoo
N,Holhudhoo
N,Kendhikulhudhoo
N,Kudafaree
N,Landhoo
N,Lhohi
N,Maafaru
N,Maalhendhoo
N,Magoodhoo
N,Manadhoo
N,Miladhoo
N,Velidhoo
N,Orivaru
N,Kuredhivaru
N,Medhafushi
N,Medhufaru
N,Randheli
N,Fushivelaavaru
N,Kudafunafaru
N,Dhigurah
N,Ban'daidhidhdhoo
N,Bodufushi (Ehdhupparu falhu)
N,Bodulhaimendhoo
N,Kalaidhoo
N,Burehifasdhoo
N,Dheefuram
N,Dhekenanfaru
N,Dhelibe ruh elhihuraa
N,Dhonaeri kan'doodhoo
N,Ehdhuffaru mairah
N,Ekulhivaru
N,Farumuli
N,Felivaru
N,Fohdhipparu
N,Fohdhoo
N,Orimasvaru
N,Goan'bilivaadhoo
N,Hen'badhoo
N,Holhumeedhoo
N,Huivani
N,Hulhuhdhoo
N,Huvan'dhumaavattaru
N,In'guraidhoo
N,Kaalhugemendhoo
N,Kafakomandoo
N,Bomasdhoo
N,Kan'dinmaahuraa
N,Karinma
N,Karinmavattaru
N,Kedhivaru
N,Ken'dhikulhudhoo
N,Kudafari
N,Kudafushi
N,Kunnumala
N,Kuramaadhoo
N,Loafaru
N,Maafunafaru
N,Maakanaafushi
N,Maakurehdhoo
N,Maavahdhoo
N,Maavelavaru
N,Minaavaru
N,Fushivelavaru
N,Orivarukudarah
N,Raafushi
N,Raalhulaakolhu
N,Than'burudhoo
N,Than'burudhuffushi
N,Tholhendhoo
N,Thoshigan'dukolhu
N,Vavathi
N,Vihafarufinolhu
N,Kudarah (Felivaru Kudarah)
R,Alifushi
R,Angolhitheemu
R,Fainu
R,Hulhudhuffaaru
R,Saimaa.
R,Inguraidhoo
R,Innamaadhoo
R,Dhuvaafaru
R,Kinolhas
